year	leaf_num	num_leaves	pos	width	stipples	eggs	temp	light	batch	batch_2015	room	cage	side	source	temp_c
2014	8	8	3	16	10	NA	warm	light	4	7	1	1	1	NA	22.65873016
2014	9	11	5	22	3	NA	warm	light	4	7	1	1	1	NA	22.65873016
2014	10	8	3	24	7	NA	warm	light	4	7	1	1	1	NA	22.65873016
2014	1	10	8	30	0	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	2	11	1	20	0	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	3	11	11	30	0	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	4	11	2	14	0	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	5	10	3	21	3	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	6	8	7	30	0	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	7	8	7	28	0	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	8	8	6	22	0	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	9	11	7	22	0	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	10	8	2	28	0	NA	warm	dark	4	7	1	1	2	NA	22.42857143
2014	1	10	7	34	10	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	2	11	10	30	1	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	3	11	5	37	0	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	4	11	9	22	0	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	5	10	9	21	0	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	6	8	1	14	0	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	7	8	6	27	2	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	8	8	7	26	0	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	9	11	4	22	0	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	10	8	8	33	0	NA	cool	light	4	8	2	1	1	NA	16.3015873
2014	1	10	2	15	2	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	2	11	3	26	0	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	3	11	8	29	0	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	4	11	3	16	5	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	5	10	1	16	0	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	6	8	5	34	0	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	7	8	4	23	2	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	8	8	2	16	0	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	9	11	2	16	0	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	10	8	6	25	0	NA	cool	dark	4	8	2	1	2	NA	16.17460317
2014	1	8	5	20	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	2	8	2	11	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	3	9	1	10	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	4	10	10	19	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	5	10	3	8	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	6	9	1	8	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	7	7	2	17	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	8	9	4	24	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	9	9	9	23	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	10	17	9	24	0	NA	warm	dark	5	9	1	1	1	NA	21.57936508
2014	1	8	2	13	10	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	2	8	4	14	14	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	3	9	5	21	10	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	4	10	3	29	39	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	5	10	10	11	0	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	6	9	5	13	9	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	7	7	6	37	19	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	8	9	5	30	22	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	9	9	3	14	2	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	11	8	5	19	7	NA	warm	light	5	9	1	1	2	NA	21.77777778
2014	1	8	3	17	0	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	2	8	3	17	0	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	3	9	3	16	0	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	4	10	6	37	2	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	5	10	5	16	0	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	6	9	2	20	0	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	7	7	4	29	0	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	8	9	1	13	0	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	9	9	8	22	0	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	11	8	3	18	0	NA	cool	dark	5	10	2	1	1	NA	16.06349206
2014	1	8	7	22	0	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	2	8	7	18	0	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	3	9	7	24	0	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	4	10	4	40	0	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	5	10	1	19	0	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	6	9	4	24	0	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	7	7	7	36	1	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	8	9	8	27	0	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	9	9	7	22	0	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	11	8	2	15	0	NA	cool	light	5	10	2	1	2	NA	16.0952381
2014	1	11	11	7	21	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	2	10	9	14	24	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	3	10	9	36	47	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	4	7	6	26	15	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	5	8	6	34	1	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	6	8	8	21	28	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	7	10	10	23	27	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	8	7	4	22	63	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	9	9	3	17	0	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	10	9	1	8	3	NA	warm	light	6	11	1	1	1	NA	21.34126984
2014	1	11	7	24	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	2	10	7	22	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	3	10	5	23	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	4	7	4	16	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	5	8	8	24	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	6	8	3	18	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	7	10	3	11	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	8	7	1	12	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	9	9	2	12	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	10	9	3	15	0	NA	warm	dark	6	11	1	1	2	NA	21.20634921
2014	1	11	6	22	2	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	2	10	5	21	0	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	3	10	1	13	0	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	4	7	3	15	27	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	5	8	4	32	10	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	6	8	6	22	1	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	7	10	6	24	57	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	8	7	6	25	6	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	9	9	1	12	8	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	10	9	6	19	1	NA	cool	light	6	12	2	1	1	NA	16.46825397
2014	1	11	2	12	0	NA	cool	dark	6	12	2	1	2	NA	16.30952381
2014	2	10	6	20	0	NA	cool	dark	6	12	2	1	2	NA	16.30952381
2014	3	10	3	16	0	NA	cool	dark	6	12	2	1	2	NA	16.30952381
